"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0T820","2020-03-14 00:00:00","550.000","152.000","0.400","18.500","0.970","957.400","","0.500","-99.000","-99.000","-99.000","24.700","","15.100",""
"C0S890","2020-03-14 00:00:00","238.000","0.000","0.100","20.700","1.000","992.000","","1.500","-99.000","-99.000","-99.000","28.200","","18.600",""
"C0G840","2020-03-14 00:00:00","32.000","7.000","1.600","20.900","0.960","1011.700","","0.000","-99.000","-99.000","-99.000","28.800","","18.700",""
"C0V710","2020-03-14 00:00:00","34.000","313.000","2.300","24.200","0.820","1011.100","","0.000","-99.000","-99.000","-99.000","28.200","","23.500",""
"C0X140","2020-03-14 00:00:00","17.000","353.000","0.900","22.400","0.900","1013.300","","0.000","-99.000","-99.000","-99.000","28.900","","20.100",""
"C0C680","2020-03-14 00:00:00","228.000","1.000","5.000","15.200","0.930","990.200","","87.500","11.000","336.000","","19.300","","15.200",""
"C0D360","2020-03-14 00:00:00","523.000","0.000","0.000","15.800","0.990","956.300","","6.500","-99.000","-99.000","-99.000","19.100","","15.700",""
"C0C710","2020-03-14 00:00:00","143.000","265.000","0.500","16.700","0.990","1002.400","","39.000","-99.000","-99.000","-99.000","21.000","","16.700",""
"C0Z190","2020-03-14 00:00:00","62.000","119.000","0.800","20.900","0.990","1009.100","","0.000","-99.000","-99.000","-99.000","24.100","","20.400",""
"C0Z020","2020-03-14 00:00:00","211.000","31.000","0.900","20.400","0.990","991.200","","1.500","-99.000","-99.000","-99.000","25.300","","17.700",""
"C0I380","2020-03-14 00:00:00","258.000","0.000","0.000","21.300","0.960","984.900","","0.000","-99.000","-99.000","-99.000","29.900","","18.500",""
"C0D560","2020-03-14 00:00:00","147.000","11.000","1.500","17.100","0.930","1001.700","","14.500","-99.000","-99.000","-99.000","23.300","","17.100",""
"C0Z220","2020-03-14 00:00:00","589.000","80.000","0.400","17.500","0.990","951.100","","0.500","-99.000","-99.000","-99.000","24.200","","16.700",""
"C0R220","2020-03-14 00:00:00","23.000","268.000","1.000","23.600","1.000","1012.700","","0.000","-99.000","-99.000","-99.000","30.300","","22.200",""
"C0A870","2020-03-14 00:00:00","685.000","358.000","8.300","13.100","1.000","938.200","","34.000","-99.000","-99.000","-99.000","18.100","","13.100",""
"C0V670","2020-03-14 00:00:00","20.000","307.000","2.300","23.900","0.840","1013.000","","0.000","-99.000","-99.000","-99.000","28.100","","21.900",""
"C0G770","2020-03-14 00:00:00","15.000","21.000","2.000","21.300","0.860","1014.100","","0.000","-99.000","-99.000","-99.000","27.200","","19.700",""
"C0F9O0","2020-03-14 00:00:00","175.000","355.000","0.600","20.300","1.000","995.700","","0.000","-99.000","-99.000","-99.000","28.900","","18.800",""
"C0Z230","2020-03-14 00:00:00","31.000","15.000","13.100","20.400","0.790","1013.600","","0.000","-99.000","-99.000","-99.000","23.500","","20.400",""
"C0U900","2020-03-14 00:00:00","63.000","191.000","0.300","19.500","0.990","1011.800","","3.000","-99.000","-99.000","-99.000","25.900","","18.200",""
"C0X200","2020-03-14 00:00:00","61.000","295.000","1.500","21.600","0.990","1008.000","","0.000","-99.000","-99.000","-99.000","28.600","","19.100",""
"C0G640","2020-03-14 00:00:00","17.000","25.000","2.100","20.300","0.890","1016.400","","0.000","-99.000","-99.000","-99.000","26.500","","19.000",""
"C0E870","2020-03-14 00:00:00","34.000","37.000","3.300","18.200","0.990","1015.600","","1.000","-99.000","-99.000","-99.000","25.100","","18.200",""
"C0M800","2020-03-14 00:00:00","440.000","0.000","0.000","20.800","0.970","966.000","","0.500","-99.000","-99.000","-99.000","28.400","","18.600",""
"C0A570","2020-03-14 00:00:00","360.000","0.000","0.200","16.000","0.990","977.500","","13.000","-99.000","-99.000","-99.000","19.800","","16.000",""
"C0S790","2020-03-14 00:00:00","236.000","357.000","0.300","20.500","0.960","990.900","","0.000","-99.000","-99.000","-99.000","27.800","","20.500",""
"C0D590","2020-03-14 00:00:00","143.000","50.000","4.100","16.000","0.990","1002.500","","41.000","-99.000","-99.000","-99.000","20.800","","16.000",""
"C0U990","2020-03-14 00:00:00","31.000","55.000","2.100","20.400","0.780","1015.100","","1.500","-99.000","-99.000","-99.000","25.300","","18.700",""
"C0M700","2020-03-14 00:00:00","150.000","0.000","0.000","20.900","1.000","999.000","","1.000","-99.000","-99.000","-99.000","28.900","","18.400",""
"C0A970","2020-03-14 00:00:00","96.000","350.000","10.100","16.100","0.990","1007.500","","13.000","-99.000","-99.000","-99.000","19.500","","16.100",""
"CM0110","2020-03-14 00:00:00","7.000","49.000","3.500","20.500","0.800","1015.400","","-99.000","-99.000","-99.000","-99.000","25.300","","19.400",""
"C0S940","2020-03-14 00:00:00","150.000","10.000","0.900","20.600","1.000","998.700","","2.500","-99.000","-99.000","-99.000","24.200","","20.400",""
"C0X250","2020-03-14 00:00:00","33.000","15.000","2.000","21.800","0.880","1011.700","","0.000","-99.000","-99.000","-99.000","28.200","","19.600",""
"C0V490","2020-03-14 00:00:00","20.000","349.000","1.600","23.900","0.990","1013.300","","0.000","-99.000","-99.000","-99.000","27.700","","22.800",""
"C0C630","2020-03-14 00:00:00","209.000","1.000","2.500","15.900","0.990","994.300","","38.000","-99.000","-99.000","-99.000","21.300","","15.900",""
"C0D550","2020-03-14 00:00:00","1956.000","152.000","0.800","12.700","0.930","812.600","","0.500","-99.000","-99.000","-99.000","18.800","","12.200",""
"C0T9E0","2020-03-14 00:00:00","415.000","93.000","1.500","18.100","0.960","970.200","","12.500","-99.000","-99.000","-99.000","21.700","","18.100",""
"C0U960","2020-03-14 00:00:00","1885.000","7.000","1.500","12.200","0.990","816.000","","0.500","-99.000","-99.000","-99.000","17.000","","9.100",""
"C0AI30","2020-03-14 00:00:00","26.000","306.000","1.900","17.600","0.990","1016.700","","63.500","-99.000","-99.000","-99.000","21.200","","17.600",""
"C0R240","2020-03-14 00:00:00","87.000","0.000","0.000","23.000","0.880","1004.600","","0.000","-99.000","-99.000","-99.000","32.200","","20.400",""
